Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtg,ORtg,DRtg,NetRtg
154,Wichita St.,Amer,15-19,+1.12,104.7,103.6,68.1,-.037,+3.51,108.9,105.4,+1.48
155,Oregon St.,P12,13-19,+1.03,107.0,105.9,65.3,+.044,+9.30,110.7,101.4,+0.50
156,Weber St.,BSky,20-12,+0.92,108.6,107.7,65.7,-.014,-2.76,104.9,107.7,+4.00
157,Purdue Fort Wayne,Horz,23-13,+0.83,104.9,104.1,70.9,-.039,-5.31,104.4,109.7,-9.05
158,Wright St.,Horz,18-14,+0.80,116.1,115.3,71.6,-.058,-2.58,104.9,107.5,+4.09
159,Wyoming,MWC,15-17,+0.79,108.7,107.9,67.2,+.038,+6.42,110.2,103.8,+2.47
160,Murray St.,MVC,12-20,+0.52,107.4,106.9,64.5,-.113,+3.01,107.3,104.3,-0.21
161,Longwood 16,BSth,21-14,+0.35,105.5,105.2,66.9,-.005,-3.40,104.7,108.1,-6.80
162,Utah Valley,WAC,16-16,-0.10,100.2,100.3,67.7,+.000,+1.87,106.4,104.5,+7.07
163,Montana,BSky,24-12,-0.17,110.6,110.8,66.3,+.076,-3.65,104.9,108.5,+1.70
164,UNC Asheville,BSth,22-12,-0.21,107.4,107.6,68.2,+.083,-1.27,106.3,107.5,+3.33
165,Long Beach St. 15,BW,21-15,-0.25,107.3,107.5,71.5,+.053,-0.30,105.2,105.5,+1.29
166,Lipscomb,ASun,20-12,-0.39,112.0,112.4,69.1,+.010,-3.96,105.3,109.2,+2.21
167,Hawaii,BW,20-14,-0.59,104.8,105.3,66.2,-.008,-3.21,103.8,107.0,-5.31
168,Stony Brook,CAA,20-15,-0.63,106.3,106.9,67.6,+.054,-1.32,105.4,106.7,+1.10
169,Delaware,CAA,19-14,-0.63,105.0,105.6,67.5,-.014,-3.07,105.1,108.2,-0.75
170,Stephen F. Austin,WAC,18-15,-0.65,102.0,102.6,69.3,+.008,-0.26,105.1,105.4,-1.02
171,Kent St.,MAC,17-17,-0.81,106.1,107.0,66.6,-.083,-2.12,105.0,107.1,+3.45
172,Quinnipiac,MAAC,24-10,-0.85,105.2,106.0,71.4,+.060,-7.03,101.0,108.0,-7.27
